forestry_carbon,soil_carbon,biodiversity,premium_beef,water_credits,total,year,farm_id
0.0,17500.0,0.0,0.0,0.0,17500.0,1,1
0.0,17500.0,0.0,0.0,0.0,17500.0,1,2
70000.0,28000.0,0.0,0.0,0.0,98000.0,2,1
70000.0,28000.0,0.0,0.0,0.0,98000.0,2,2
70000.0,28000.0,0.0,0.0,0.0,98000.0,2,3
70000.0,28000.0,0.0,0.0,0.0,98000.0,2,4
160000.0,48000.0,250000.0,340000.0,0.0,798000.0,3,1
160000.0,48000.0,250000.0,340000.0,0.0,798000.0,3,2
160000.0,48000.0,250000.0,340000.0,0.0,798000.0,3,3
160000.0,48000.0,250000.0,340000.0,0.0,798000.0,3,4
160000.0,48000.0,250000.0,340000.0,0.0,798000.0,3,5
160000.0,48000.0,250000.0,340000.0,0.0,798000.0,3,6
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,1
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,2
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,3
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,4
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,5
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,6
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,7
210000.0,63000.0,0.0,450000.0,25000.0,748000.0,4,8
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,1
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,2
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,3
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,4
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,5
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,6
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,7
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,8
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,9
270000.0,81000.0,150000.0,570000.0,55000.0,1126000.0,5,10
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,1
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,2
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,3
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,4
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,5
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,6
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,7
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,8
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,9
315000.0,90000.0,0.0,650000.0,90000.0,1145000.0,6,10
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,1
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,2
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,3
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,4
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,5
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,6
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,7
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,8
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,9
360000.0,99000.0,280000.0,735000.0,130000.0,1604000.0,7,10
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,1
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,2
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,3
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,4
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,5
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,6
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,7
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,8
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,9
408000.0,115200.0,0.0,825000.0,175000.0,1523200.0,8,10
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,1
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,2
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,3
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,4
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,5
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,6
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,7
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,8
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,9
450000.0,125000.0,400000.0,920000.0,225000.0,2120000.0,9,10
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,1
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,2
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,3
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,4
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,5
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,6
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,7
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,8
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,9
494000.0,135200.0,0.0,1020000.0,280000.0,1929200.0,10,10
